"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt0086197",1983,"Adventure,Biography,Drama",7.8,60480,"nm0442241","nm0442241,nm0004366","unpopular"
"tt1488555",2011,"Comedy,Fantasy",6.3,179477,"nm0229694","nm0524190,nm0601859","unpopular"
"tt3042408",2014,"Crime,Drama,Mystery",7.5,55432,"nm2171633","nm1296729,nm2171633","unpopular"
"tt0816711",2013,"Action,Adventure,Horror",7,644155,"nm0286975","nm1996352,nm1206844,nm0511541,nm0833089,nm0112150","popular"
"tt0286499",2002,"Comedy,Drama,Romance",6.7,109155,"nm0149446","nm0149446,nm0996493,nm0074488","unpopular"
"tt1478964",2011,"Action,Adventure,Comedy",6.7,105642,"nm0180428","nm0180428","unpopular"
"tt1043726",2014,"Action,Adventure,Fantasy",4.2,54249,"nm0001317","nm0393517,nm0316417,nm0001317,nm1048866","unpopular"
"tt0120484",1998,"Comedy,Sport",6.1,160089,"nm0178997","nm0379056,nm0001191","popular"
"tt1212450",2012,"Biography,Crime,Drama",7.2,239087,"nm0384825","nm0147022,nm2967574","unpopular"
"tt7349662",2018,"Biography,Comedy,Crime",7.5,253561,"nm0000490","nm4478735,nm5161275,nm0932551,nm0000490,nm9259302","unpopular"
"tt0421206",2006,"Biography,Crime,Drama",7,62224,"nm0423333","nm0536587,nm0281133","unpopular"
"tt1727824",2018,"Biography,Drama,Music",8,511524,"nm0001741","nm0565026,nm0604948","popular"
"tt0318627",2004,"Action,Horror,Sci-Fi",6.1,195940,"nm0936838","nm0027271","unpopular"
"tt7740496",2021,"Crime,Drama,Thriller",7.1,96807,"nm0868219","nm0868219,nm1965407,nm0340343","unpopular"
"tt0349205",2003,"Comedy,Family",5.9,100386,"nm0506613","nm0318326,nm0136950,nm0864471,nm0363958,nm0169505,nm0812513","popular"
"tt0169102",2001,"Drama,Musical,Sport",8.1,111586,"nm0332950","nm0332950,nm1021349,nm1021353,nm1022153","unpopular"
"tt0084503",1982,"Drama,Fantasy,Music",8,79875,"nm0000570","nm0914166","unpopular"
"tt0498353",2007,"Horror",5.5,89321,"nm0744834","nm0744834","unpopular"
"tt1614989",2011,"Action,Crime,Thriller",7.5,101081,"nm0878763","nm0752968,nm0345674,nm1867674","unpopular"
"tt0120832",1998,"Crime,Mystery,Thriller",6.1,80371,"nm0000361","nm0000361,nm0462895","unpopular"
"tt0489237",2007,"Comedy,Drama,Romance",6.2,58932,"nm0700301,nm0075849","nm2096064,nm2096624,nm0075849,nm0700301","unpopular"
"tt2294449",2014,"Action,Comedy,Crime",7,367596,"nm0588087,nm0520488","nm0045209,nm3349927,nm0745247,nm1706767,nm0367895,nm0004798","popular"
"tt0416315",2005,"Horror,Thriller",6.2,71634,"nm0572562","nm0572562","unpopular"
"tt0294870",2005,"Drama,Musical,Romance",6.9,52679,"nm0001060","nm1170227,nm0154716","unpopular"
"tt0170016",2000,"Comedy,Family,Fantasy",6.2,239191,"nm0000165","nm0317450,nm0696949,nm0780620","popular"
"tt1211956",2013,"Action,Thriller",6.7,239082,"nm0405632","nm1974016,nm0445669","unpopular"
